LECROYWR640Zi,60927,Waveform
Segments,10,SegmentSize,200002
Segment,TrigTime,TimeSinceSegment1
#1,09-Aug-2019 16:29:48,0                 
#2,09-Aug-2019 16:29:48,5.701447e-006     
#3,09-Aug-2019 16:29:48,1.129295e-005     
#4,09-Aug-2019 16:29:48,1.703487e-005     
#5,09-Aug-2019 16:29:48,2.266119e-005     
#6,09-Aug-2019 16:29:48,2.866887e-005     
#7,09-Aug-2019 16:29:48,3.442581e-005     
#8,09-Aug-2019 16:29:48,4.167359e-005     
#9,09-Aug-2019 16:29:48,4.747351e-005     
#10,09-Aug-2019 16:29:48,5.318782e-005    
Time,Ampl
-7.01832066e-007,-3.85417e-005
-7.01807066e-007,-7.96387e-005
-7.01782066e-007,-0.000121956
-7.01757066e-007,-0.00016346
-7.01732066e-007,-0.000203337
-7.01707066e-007,-0.000241992
-7.01682066e-007,-0.00027902
-7.01657066e-007,-0.000311572
-7.01632066e-007,-0.0003368
-7.01607066e-007,-0.000349414
-7.01582066e-007,-0.000346973
-7.01557066e-007,-0.000328662
-7.01532066e-007,-0.00029611
-7.01507066e-007,-0.000253385
-7.01482066e-007,-0.000206185
-7.01457066e-007,-0.000158984
-7.01432066e-007,-0.000114632
-7.01407066e-007,-7.35352e-005
-7.01382066e-007,-3.28451e-005
-7.01357066e-007,9.87956e-006
-7.01332066e-007,5.7487e-005
-7.01307066e-007,0.00010957
-7.01282066e-007,0.000162467
-7.01257066e-007,0.000212516
-7.01232066e-007,0.000254834
-7.01207066e-007,0.000284538
-7.01182066e-007,0.000299593
-7.01157066e-007,0.000298372
-7.01132066e-007,0.000283724
-7.01107066e-007,0.00025931
-7.01082066e-007,0.000232454
-7.01057066e-007,0.000210482
-7.01032066e-007,0.000197461
-7.01007066e-007,0.000194206
-7.00982066e-007,0.000197868
-7.00957066e-007,0.000201937
-7.00932066e-007,0.000198682
-7.00907066e-007,0.000182406
-7.00882066e-007,0.000151888
-7.00857066e-007,0.000109163
-7.00832066e-007,5.99284e-005
-7.00807066e-007,1.31348e-005
-7.00782066e-007,-2.26725e-005
-7.00757066e-007,-4.05762e-005
-7.00732066e-007,-3.7321e-005
-7.00707066e-007,-1.37207e-005
-7.00682066e-007,2.4528e-005
-7.00657066e-007,7.05078e-005
-7.00632066e-007,0.000116488
-7.00607066e-007,0.000155957
-7.00582066e-007,0.000185254
-7.00557066e-007,0.000203564
-7.00532066e-007,0.00021333
-7.00507066e-007,0.000217806
-7.00482066e-007,0.000220654
-7.00457066e-007,0.000224316
-7.00432066e-007,0.000228792
-7.00407066e-007,0.000233268
-7.00382066e-007,0.000234489
-7.00357066e-007,0.000228385
-7.00332066e-007,0.000210889
-7.00307066e-007,0.000177116
-7.00282066e-007,0.000125439
-7.00257066e-007,5.54525e-005
-7.00232066e-007,-2.8776e-005
-7.00207066e-007,-0.000119922
-7.00182066e-007,-0.000210661
-7.00157066e-007,-0.000291227
-7.00132066e-007,-0.000354704
-7.00107066e-007,-0.000396615
-7.00082066e-007,-0.000416146
-7.00057066e-007,-0.000415739
-7.00032066e-007,-0.00040109
-7.00007066e-007,-0.000379525
-6.99982066e-007,-0.000357145
-6.99957066e-007,-0.000338428
-6.99932066e-007,-0.000326221
-6.99907066e-007,-0.00031849
-6.99882066e-007,-0.000312793
-6.99857066e-007,-0.000303434
-6.99832066e-007,-0.000285124
-6.99807066e-007,-0.000253385
-6.99782066e-007,-0.000206592
-6.99757066e-007,-0.000146777
-6.99732066e-007,-7.92318e-005
-6.99707066e-007,-1.16862e-005
